id,name,genus,type_1,type_2,color,generation,pokedex_entry
517,munna,Dream Eater Pokémon,psychic,,pink,generation-v,Munna always float in the air. People whose dreams are eaten by them forget what the dreams had been about.
518,musharna,Drowsing Pokémon,psychic,,pink,generation-v,The mist emanating from their foreheads is packed with the dreams of people and Pokémon.
519,pidove,Tiny Pigeon Pokémon,normal,flying,gray,generation-v,"Each follows its Trainer’s orders as best it can, but they sometimes fail to understand complicated commands."
520,tranquill,Wild Pigeon Pokémon,normal,flying,gray,generation-v,It can return to its Trainer’s location regardless of the distance separating them.
521,unfezant,Proud Pokémon,normal,flying,gray,generation-v,Males swing their head plumage to threaten opponents. The females’ flying abilities surpass those of the males.
522,blitzle,Electrified Pokémon,electric,,black,generation-v,Its mane shines when it discharges electricity. They use their flashing manes to communicate with one another.
523,zebstrika,Thunderbolt Pokémon,electric,,black,generation-v,"They have lightning-like movements. When Zebstrika run at full speed, the sound of thunder reverberates."
524,roggenrola,Mantle Pokémon,rock,,blue,generation-v,"Its ear is hexagonal in shape. Compressed underground, its body is as hard as steel."
525,boldore,Ore Pokémon,rock,,blue,generation-v,"When it overflows with power, the orange crystal on its body glows. It looks for underground water in caves."
526,gigalith,Compressed Pokémon,rock,,blue,generation-v,Compressing the energy from its internal core lets it fire off an attack capable of blowing away a mountain.
527,woobat,Bat Pokémon,psychic,flying,blue,generation-v,Its habitat is dark forests and caves. It emits ultrasonic waves from its nose to learn about its surroundings.
528,swoobat,Courting Pokémon,psychic,flying,blue,generation-v,"It emits sound waves of various frequencies from its nose, including some powerful enough to destroy rocks."
529,drilbur,Mole Pokémon,ground,,gray,generation-v,It can dig through the ground at a speed of 30 mph. It could give a car running aboveground a good race.
530,excadrill,Subterrene Pokémon,ground,steel,gray,generation-v,It can help in tunnel construction. Its drill has evolved into steel strong enough to bore through iron plates.
531,audino,Hearing Pokémon,normal,,pink,generation-v,"It touches others with the feelers on its ears, using the sound of their heartbeats to tell how they are feeling."
532,timburr,Muscular Pokémon,fighting,,gray,generation-v,It fights by swinging a piece of lumber around. It is close to evolving when it can handle the lumber without difficulty.
533,gurdurr,Muscular Pokémon,fighting,,gray,generation-v,This Pokémon is so muscular and strongly built that even a group of wrestlers could not make it budge an inch.
534,conkeldurr,Muscular Pokémon,fighting,,brown,generation-v,"It is thought that Conkeldurr taught humans how to make concrete more than 2,000 years ago."
535,tympole,Tadpole Pokémon,water,,blue,generation-v,They warn others of danger by vibrating their cheeks to create a high-pitched sound.
536,palpitoad,Vibration Pokémon,water,ground,blue,generation-v,"When they vibrate the bumps on their heads, they can make waves in water or earthquake-like vibrations on land."
537,seismitoad,Vibration Pokémon,water,ground,blue,generation-v,They shoot paralyzing liquid from their head bumps. They use vibration to hurt their opponents.
538,throh,Judo Pokémon,fighting,,red,generation-v,"When it tightens its belt, it becomes stronger. Wild Throh use vines to weave their own belts."
539,sawk,Karate Pokémon,fighting,,blue,generation-v,The sound of Sawk punching boulders and trees can be heard all the way from the mountains where they train.
540,sewaddle,Sewing Pokémon,bug,grass,yellow,generation-v,Leavanny dress it in clothes they made for it when it hatched. It hides its head in its hood while it is sleeping.
541,swadloon,Leaf-Wrapped Pokémon,bug,grass,green,generation-v,Forests where Swadloon live have superb foliage because the nutrients they make from fallen leaves nourish the plant life.
542,leavanny,Nurturing Pokémon,bug,grass,yellow,generation-v,"Upon finding a small Pokémon, it weaves clothing for it from leaves, using the cutters on its arms and sticky silk."
543,venipede,Centipede Pokémon,bug,poison,red,generation-v,"Its bite injects a potent poison, enough to paralyze large bird Pokémon that try to prey on it."
544,whirlipede,Curlipede Pokémon,bug,poison,gray,generation-v,"Protected by a hard shell, it spins its body like a wheel and crashes furiously into its enemies."
545,scolipede,Megapede Pokémon,bug,poison,red,generation-v,"With quick movements, it chases down its foes, attacking relentlessly with its horns until it prevails."
546,cottonee,Cotton Puff Pokémon,grass,fairy,green,generation-v,"When attacked, it escapes by shooting cotton from its body. The cotton serves as a decoy to distract the attacker."
547,whimsicott,Windveiled Pokémon,grass,fairy,green,generation-v,"Like the wind, it can slip through any gap, no matter how small. It leaves balls of white fluff behind."
548,petilil,Bulb Pokémon,grass,,green,generation-v,The leaves on its head are very bitter. Eating one of these leaves is known to refresh a tired body.
549,lilligant,Flowering Pokémon,grass,,green,generation-v,Even veteran Trainers face a challenge in getting its beautiful flower to bloom. This Pokémon is popular with celebrities.
550,basculin,Hostile Pokémon,,,green,generation-v,"Red and blue Basculin get along so poorly, they’ll start fighting instantly. These Pokémon are very hostile."
551,sandile,Desert Croc Pokémon,ground,dark,brown,generation-v,They live buried in the sands of the desert. The sun-warmed sands prevent their body temperature from dropping.
552,krokorok,Desert Croc Pokémon,ground,dark,brown,generation-v,They live in groups of a few individuals. Protective membranes shield their eyes from sandstorms.
553,krookodile,Intimidation Pokémon,ground,dark,red,generation-v,"They never allow prey to escape. Their jaws are so powerful, they can crush the body of an automobile."
554,darumaka,Zen Charm Pokémon,fire,,red,generation-v,"When its internal fire is burning, it cannot calm down and it runs around. When the fire diminishes, it falls asleep."
555,darmanitan,Blazing Pokémon,,,red,generation-v,"Its internal fire burns at 2,500° F, making enough power that it can destroy a dump truck with one punch."
556,maractus,Cactus Pokémon,grass,,green,generation-v,It uses an up-tempo song and dance to drive away the bird Pokémon that prey on its flower seeds.
557,dwebble,Rock Inn Pokémon,bug,rock,red,generation-v,This Pokémon can easily melt holes in hard rocks with a liquid secreted from its mouth.
558,crustle,Stone Home Pokémon,bug,rock,red,generation-v,"Competing for territory, Crustle fight viciously. The one whose boulder is broken is the loser of the battle."
559,scraggy,Shedding Pokémon,dark,fighting,yellow,generation-v,"Its skin has a rubbery elasticity, so it can reduce damage by defensively pulling its skin up to its neck."
560,scrafty,Hoodlum Pokémon,dark,fighting,red,generation-v,Groups of them beat up anything that enters their territory. Each can spit acidic liquid from its mouth.
561,sigilyph,Avianoid Pokémon,psychic,flying,black,generation-v,"They never vary the route they fly, because their memories of guarding an ancient city remain steadfast."
562,yamask,Spirit Pokémon,ghost,,black,generation-v,Each of them carries a mask that used to be its face when it was human. Sometimes they look at it and cry.
563,cofagrigus,Coffin Pokémon,ghost,,yellow,generation-v,It has been said that they swallow those who get too close and turn them into mummies. They like to eat gold nuggets.
564,tirtouga,Prototurtle Pokémon,water,rock,blue,generation-v,"Restored from a fossil, this Pokémon can dive to depths beyond half a mile."
565,carracosta,Prototurtle Pokémon,water,rock,blue,generation-v,They can live both in the ocean and on land. A slap from one of them is enough to open a hole in the bottom of a tanker.
566,archen,First Bird Pokémon,rock,flying,yellow,generation-v,"Said to be an ancestor of bird Pokémon, they were unable to fly and moved about by hopping from one branch to another."
567,archeops,First Bird Pokémon,rock,flying,yellow,generation-v,"They are intelligent and will cooperate to catch prey. From the ground, they use a running start to take flight."
568,trubbish,Trash Bag Pokémon,poison,,green,generation-v,Inhaling the gas they belch will make you sleep for a week. They prefer unsanitary places.
569,garbodor,Trash Heap Pokémon,poison,,green,generation-v,It clenches opponents with its left arm and finishes them off with foul-smelling poison gas belched from its mouth.
570,zorua,Tricky Fox Pokémon,dark,,gray,generation-v,"It changes into the forms of others to surprise them. Apparently, it often transforms into a silent child."
571,zoroark,Illusion Fox Pokémon,dark,,gray,generation-v,Bonds between these Pokémon are very strong. It protects the safety of its pack by tricking its opponents.
572,minccino,Chinchilla Pokémon,normal,,gray,generation-v,"They greet one another by rubbing each other with their tails, which are always kept well groomed and clean."
573,cinccino,Scarf Pokémon,normal,,gray,generation-v,Their white fur is coated in a special oil that makes it easy for them to deflect attacks.
574,gothita,Fixation Pokémon,psychic,,purple,generation-v,Their ribbonlike feelers increase their psychic power. They are always staring at something.
575,gothorita,Manipulate Pokémon,psychic,,purple,generation-v,They use hypnosis to control people and Pokémon. Tales of Gothorita leading people astray are told in every corner.
576,gothitelle,Astral Body Pokémon,psychic,,purple,generation-v,Starry skies thousands of light-years away are visible in the space distorted by their intense psychic power.
577,solosis,Cell Pokémon,psychic,,green,generation-v,They drive away attackers by unleashing psychic power. They can use telepathy to talk with others.
578,duosion,Mitosis Pokémon,psychic,,green,generation-v,"Since they have two divided brains, at times they suddenly try to take two different actions at once."
579,reuniclus,Multiplying Pokémon,psychic,,green,generation-v,"When Reuniclus shake hands, a network forms between their brains, increasing their psychic power."
580,ducklett,Water Bird Pokémon,water,flying,blue,generation-v,These bird Pokémon are excellent divers. They swim around in the water eating their favorite food--peat moss.
581,swanna,White Bird Pokémon,water,flying,white,generation-v,Swanna start to dance at dusk. The one dancing in the middle is the leader of the flock.
582,vanillite,Fresh Snow Pokémon,ice,,white,generation-v,The temperature of their breath is -58° F. They create snow crystals and make snow fall in the areas around them.
583,vanillish,Icy Snow Pokémon,ice,,white,generation-v,"Snowy mountains are this Pokémon’s habitat. During an ancient ice age, they moved to southern areas."
584,vanilluxe,Snowstorm Pokémon,ice,,white,generation-v,"Swallowing large amounts of water, they make snow clouds inside their bodies and attack their foes with violent blizzards."
585,deerling,Season Pokémon,normal,grass,pink,generation-v,"The color and scent of their fur changes to match the mountain grass. When they sense hostility, they hide in the grass."
586,sawsbuck,Season Pokémon,normal,grass,brown,generation-v,They migrate according to the seasons. People can tell the season by looking at Sawsbuck’s horns.
587,emolga,Sky Squirrel Pokémon,electric,flying,white,generation-v,The energy made in its cheeks’ electric pouches is stored inside its membrane and released while it is gliding.
588,karrablast,Clamping Pokémon,bug,,blue,generation-v,These mysterious Pokémon evolve when they receive electrical stimulation while they are in the same place as Shelmet.
589,escavalier,Cavalry Pokémon,bug,steel,gray,generation-v,"They fly around at high speed, striking with their pointed spears. Even when in trouble, they face opponents bravely."
590,foongus,Mushroom Pokémon,grass,poison,white,generation-v,"It lures people in with its Poké Ball pattern, then releases poison spores. Why it resembles a Poké Ball is unknown."
591,amoonguss,Mushroom Pokémon,grass,poison,white,generation-v,"It lures prey close by dancing and waving its arm caps, which resemble Poké Balls, in a swaying motion."
592,frillish,Floating Pokémon,,,white,generation-v,"With its thin, veil-like arms wrapped around the body of its opponent, it sinks to the ocean floor."
593,jellicent,Floating Pokémon,,,white,generation-v,"The fate of the ships and crew that wander into Jellicent’s habitat: all sunken, all lost, all vanished."
594,alomomola,Caring Pokémon,water,,pink,generation-v,The special membrane enveloping Alomomola has the ability to heal wounds.
595,joltik,Attaching Pokémon,bug,electric,yellow,generation-v,Joltik that live in cities have learned a technique for sucking electricity from the outlets in houses.
596,galvantula,EleSpider Pokémon,bug,electric,yellow,generation-v,"When attacked, they create an electric barrier by spitting out many electrically charged threads."
597,ferroseed,Thorn Seed Pokémon,grass,steel,gray,generation-v,"When threatened, it attacks by shooting a barrage of spikes, which gives it a chance to escape by rolling away."
598,ferrothorn,Thorn Pod Pokémon,grass,steel,gray,generation-v,It fights by swinging around its three spiky feelers. A hit from these steel spikes can reduce a boulder to rubble.
599,klink,Gear Pokémon,steel,,gray,generation-v,The two minigears that mesh together are predetermined. Each will rebound from other minigears without meshing.
600,klang,Gear Pokémon,steel,,gray,generation-v,"By changing the direction in which it rotates, it communicates its feelings to others. When angry, it rotates faster."
601,klinklang,Gear Pokémon,steel,,gray,generation-v,Its red core functions as an energy tank. It fires the charged energy through its spikes into an area.
602,tynamo,EleFish Pokémon,electric,,white,generation-v,"While one alone doesn’t have much power, a chain of many Tynamo can be as powerful as lightning."
603,eelektrik,EleFish Pokémon,electric,,blue,generation-v,They coil around foes and shock them with electricity-generating organs that seem simply to be circular patterns.
604,eelektross,EleFish Pokémon,electric,,blue,generation-v,They crawl out of the ocean using their arms. They will attack prey on shore and immediately drag it into the ocean.
605,elgyem,Cerebral Pokémon,psychic,,blue,generation-v,"It uses its strong psychic power to squeeze its opponent’s brain, causing unendurable headaches."
606,beheeyem,Cerebral Pokémon,psychic,,brown,generation-v,"It can manipulate an opponent’s memory. Apparently, it communicates by flashing its three different-colored fingers."
607,litwick,Candle Pokémon,ghost,fire,white,generation-v,"Litwick shines a light that absorbs the life energy of people and Pokémon, which becomes the fuel that it burns."
608,lampent,Lamp Pokémon,ghost,fire,black,generation-v,"This ominous Pokémon is feared. Through cities it wanders, searching for the spirits of the fallen."
609,chandelure,Luring Pokémon,ghost,fire,black,generation-v,"It absorbs a spirit, which it then burns. By waving the flames on its arms, it puts its foes into a hypnotic trance."
610,axew,Tusk Pokémon,dragon,,green,generation-v,They use their tusks to crush the berries they eat. Repeated regrowth makes their tusks strong and sharp.
611,fraxure,Axe Jaw Pokémon,dragon,,green,generation-v,"Since a broken tusk will not grow back, they diligently sharpen their tusks on river rocks after they’ve been fighting."
612,haxorus,Axe Jaw Pokémon,dragon,,yellow,generation-v,They are kind but can be relentless when defending territory. They challenge foes with tusks that can cut steel.
613,cubchoo,Chill Pokémon,ice,,white,generation-v,"When it is not feeling well, its mucus gets watery and the power of its Ice-type moves decreases."
614,beartic,Freezing Pokémon,ice,,white,generation-v,"It can make its breath freeze at will. Very able in the water, it swims around in northern seas and catches prey."
615,cryogonal,Crystallizing Pokémon,ice,,blue,generation-v,"When its body temperature goes up, it turns into steam and vanishes. When its temperature lowers, it returns to ice."
616,shelmet,Snail Pokémon,bug,,red,generation-v,"When attacked, it defends itself by closing the lid of its shell. It can spit a sticky, poisonous liquid."
617,accelgor,Shell Out Pokémon,bug,,red,generation-v,"When its body dries out, it weakens. So, to prevent dehydration, it wraps itself in many layers of thin membrane."
618,stunfisk,Trap Pokémon,ground,electric,brown,generation-v,"Its skin is very hard, so it is unhurt even if stepped on by sumo wrestlers. It smiles when transmitting electricity."
619,mienfoo,Martial Arts Pokémon,fighting,,yellow,generation-v,"In fights, they dominate with onslaughts of flowing, continuous attacks. With their sharp claws, they cut enemies."
620,mienshao,Martial Arts Pokémon,fighting,,purple,generation-v,It wields the fur on its arms like a whip. Its arm attacks come with such rapidity that they cannot even be seen.
621,druddigon,Cave Pokémon,dragon,,red,generation-v,"It warms its body by absorbing sunlight with its wings. When its body temperature falls, it can no longer move."
622,golett,Automaton Pokémon,ground,ghost,green,generation-v,"The energy that burns inside it enables it to move, but no one has yet been able to identify this energy."
623,golurk,Automaton Pokémon,ground,ghost,green,generation-v,It flies across the sky at Mach speeds. Removing the seal on its chest makes its internal energy go out of control.
624,pawniard,Sharp Blade Pokémon,dark,steel,red,generation-v,"Blades comprise this Pokémon’s entire body. If battling dulls the blades, it sharpens them on stones by the river."
625,bisharp,Sword Blade Pokémon,dark,steel,red,generation-v,"It leads a group of Pawniard. It battles to become the boss, but will be driven from the group if it loses."
626,bouffalant,Bash Buffalo Pokémon,normal,,brown,generation-v,"Their fluffy fur absorbs damage, even if they strike foes with a fierce headbutt."
627,rufflet,Eaglet Pokémon,normal,flying,white,generation-v,"They crush berries with their talons. They bravely stand up to any opponent, no matter how strong it is."
628,braviary,Valiant Pokémon,normal,flying,red,generation-v,They fight for their friends without any thought about danger to themselves. One can carry a car while flying.
629,vullaby,Diapered Pokémon,dark,flying,brown,generation-v,"Its wings are too tiny to allow it to fly. As the time approaches for it to evolve, it discards the bones it was wearing."
630,mandibuzz,Bone Vulture Pokémon,dark,flying,brown,generation-v,It makes a nest out of bones it finds. It grabs weakened prey in its talons and hauls it to its nest of bones.
631,heatmor,Anteater Pokémon,fire,,red,generation-v,It breathes through a hole in its tail while it burns with an internal fire. Durant is its prey.
632,durant,Iron Ant Pokémon,bug,steel,gray,generation-v,"They attack in groups, covering themselves in steel armor to protect themselves from Heatmor."
633,deino,Irate Pokémon,dark,dragon,blue,generation-v,"It tends to bite everything, and it is not a picky eater. Approaching it carelessly is dangerous."
634,zweilous,Hostile Pokémon,dark,dragon,blue,generation-v,"After it has eaten up all the food in its territory, it moves to another area. Its two heads do not get along."
635,hydreigon,Brutal Pokémon,dark,dragon,blue,generation-v,"This brutal Pokémon travels the skies on its six wings. Anything that moves seems like a foe to it, triggering its attack."
636,larvesta,Torch Pokémon,bug,fire,white,generation-v,"This Pokémon was believed to have been born from the sun. When it evolves, its entire body is engulfed in flames."
637,volcarona,Sun Pokémon,bug,fire,white,generation-v,"When volcanic ash darkened the atmosphere, it is said that Volcarona’s fire provided a replacement for the sun."
638,cobalion,Iron Will Pokémon,steel,fighting,blue,generation-v,This legendary Pokémon battled against humans to protect Pokémon. Its personality is calm and composed.
639,terrakion,Cavern Pokémon,rock,fighting,gray,generation-v,This Pokémon came to the defense of Pokémon that had lost their homes in a war among humans.
640,virizion,Grassland Pokémon,grass,fighting,green,generation-v,This Pokémon fought humans in order to protect its friends. Legends about it continue to be passed down.
641,tornadus,Cyclone Pokémon,,,green,generation-v,The lower half of its body is wrapped in a cloud of energy. It zooms through the sky at 200 mph.
642,thundurus,Bolt Strike Pokémon,,,blue,generation-v,Countless charred remains mar the landscape of places through which Thundurus has passed.
643,reshiram,Vast White Pokémon,dragon,fire,white,generation-v,"This Pokémon appears in legends. It sends flames into the air from its tail, burning up everything around it."
644,zekrom,Deep Black Pokémon,dragon,electric,black,generation-v,"Concealing itself in lightning clouds, it flies throughout the Unova region. It creates electricity in its tail."
645,landorus,Abundance Pokémon,,,brown,generation-v,Lands visited by Landorus grant such bountiful crops that it has been hailed as “The Guardian of the Fields.”
646,kyurem,Boundary Pokémon,dragon,ice,gray,generation-v,"It generates a powerful, freezing energy inside itself, but its body became frozen when the energy leaked out."
647,keldeo,Colt Pokémon,,,yellow,generation-v,"By blasting water from its hooves, it can glide across water. It excels at using leg moves while battling."
648,meloetta,Melody Pokémon,,,white,generation-v,Its melodies are sung with a special vocalization method that can control the feelings of those who hear it.
649,genesect,Paleozoic Pokémon,bug,steel,purple,generation-v,"Over 300 million years ago, it was feared as the strongest of hunters. It has been modified by Team Plasma."
650,chespin,Spiny Nut Pokémon,grass,,green,generation-vi,"The quills on its head are usually soft. When it flexes them, the points become so hard and sharp that they can pierce rock."
651,quilladin,Spiny Armor Pokémon,grass,,green,generation-vi,It relies on its sturdy shell to deflect predators’ attacks. It counterattacks with its sharp quills.
652,chesnaught,Spiny Armor Pokémon,grass,fighting,green,generation-vi,Its Tackle is forceful enough to flip a 50-ton tank. It shields its allies from danger with its own body.
653,fennekin,Fox Pokémon,fire,,red,generation-vi,"Eating a twig fills it with energy, and its roomy ears give vent to air hotter than 390 degrees Fahrenheit."
654,braixen,Fox Pokémon,fire,,red,generation-vi,"It has a twig stuck in its tail. With friction from its tail fur, it sets the twig on fire and launches into battle."
655,delphox,Fox Pokémon,fire,psychic,red,generation-vi,"It gazes into the flame at the tip of its branch to achieve a focused state, which allows it to see into the future."
656,froakie,Bubble Frog Pokémon,water,,blue,generation-vi,It secretes flexible bubbles from its chest and back. The bubbles reduce the damage it would otherwise take when attacked.
657,frogadier,Bubble Frog Pokémon,water,,blue,generation-vi,"It can throw bubble-covered pebbles with precise control, hitting empty cans up to a hundred feet away."
658,greninja,Ninja Pokémon,water,dark,blue,generation-vi,"It creates throwing stars out of compressed water. When it spins them and throws them at high speed, these stars can split metal in two."
659,bunnelby,Digging Pokémon,normal,,brown,generation-vi,They use their large ears to dig burrows. They will dig the whole night through.
660,diggersby,Digging Pokémon,normal,ground,brown,generation-vi,"With their powerful ears, they can heft boulders of a ton or more with ease. They can be a big help at construction sites."
661,fletchling,Tiny Robin Pokémon,normal,flying,red,generation-vi,These friendly Pokémon send signals to one another with beautiful chirps and tail-feather movements.
662,fletchinder,Ember Pokémon,fire,flying,red,generation-vi,"From its beak, it expels embers that set the tall grass on fire. Then it pounces on the bewildered prey that pop out of the grass."
663,talonflame,Scorching Pokémon,fire,flying,red,generation-vi,"In the fever of an exciting battle, it showers embers from the gaps between its feathers and takes to the air."
664,scatterbug,Scatterdust Pokémon,bug,,black,generation-vi,"When under attack from bird Pokémon, it spews a poisonous black powder that causes paralysis on contact."
665,spewpa,Scatterdust Pokémon,bug,,black,generation-vi,"It lives hidden within thicket shadows. When predators attack, it quickly bristles the fur covering its body in an effort to threaten them."
666,vivillon,Scale Pokémon,bug,flying,white,generation-vi,Vivillon with many different patterns are found all over the world. These patterns are affected by the climate of their habitat.
667,litleo,Lion Cub Pokémon,fire,normal,brown,generation-vi,"The stronger the opponent it faces, the more heat surges from its mane and the more power flows through its body."
668,pyroar,Royal Pokémon,,,brown,generation-vi,The male with the largest mane of fire is the leader of the pride.
669,flabebe,Single Bloom Pokémon,fairy,,white,generation-vi,It draws out and controls the hidden power of flowers. The flower Flabébé holds is most likely part of its body.
670,floette,Single Bloom Pokémon,fairy,,white,generation-vi,It flutters around fields of flowers and cares for flowers that are starting to wilt. It draws out the hidden power of flowers to battle.
671,florges,Garden Pokémon,fairy,,white,generation-vi,"It claims exquisite flower gardens as its territory, and it obtains power from basking in the energy emitted by flowering plants."
672,skiddo,Mount Pokémon,grass,,brown,generation-vi,"Thought to be one of the first Pokémon to live in harmony with humans, it has a placid disposition."
673,gogoat,Mount Pokémon,grass,,brown,generation-vi,It can tell how its Trainer is feeling by subtle shifts in the grip on its horns. This empathic sense lets them run as if one being.
674,pancham,Playful Pokémon,fighting,,white,generation-vi,"It does its best to be taken seriously by its enemies, but its glare is not sufficiently intimidating. Chewing on a leaf is its trademark."
675,pangoro,Daunting Pokémon,fighting,dark,white,generation-vi,"Although it possesses a violent temperament, it won’t put up with bullying. It uses the leaf in its mouth to sense the movements of its enemies."
676,furfrou,Poodle Pokémon,normal,,white,generation-vi,Trimming its fluffy fur not only makes it more elegant but also increases the swiftness of its movements.
677,espurr,Restraint Pokémon,psychic,,gray,generation-vi,The organ that emits its intense psychic power is sheltered by its ears to keep power from leaking out.
678,meowstic,Constraint Pokémon,,,blue,generation-vi,"When in danger, it raises its ears and releases enough psychic power to grind a 10-ton truck into dust."
679,honedge,Sword Pokémon,steel,ghost,brown,generation-vi,Apparently this Pokémon is born when a departed spirit inhabits a sword. It attaches itself to people and drinks their life force.
680,doublade,Sword Pokémon,steel,ghost,brown,generation-vi,"When Honedge evolves, it divides into two swords, which cooperate via telepathy to coordinate attacks and slash their enemies to ribbons."
681,aegislash,Royal Sword Pokémon,,,brown,generation-vi,"Generations of kings were attended by these Pokémon, which used their spectral power to manipulate and control people and Pokémon."
682,spritzee,Perfume Pokémon,fairy,,pink,generation-vi,It emits a scent that enraptures those who smell it. This fragrance changes depending on what it has eaten.
683,aromatisse,Fragrance Pokémon,fairy,,pink,generation-vi,"It devises various scents, pleasant and unpleasant, and emits scents that its enemies dislike in order to gain an edge in battle."
684,swirlix,Cotton Candy Pokémon,fairy,,white,generation-vi,"To entangle its opponents in battle, it extrudes white threads as sweet and sticky as cotton candy."
685,slurpuff,Meringue Pokémon,fairy,,white,generation-vi,It can distinguish the faintest of scents. It puts its sensitive sense of smell to use by helping pastry chefs in their work.
686,inkay,Revolving Pokémon,dark,psychic,blue,generation-vi,Opponents who stare at the flashing of the light-emitting spots on its body become dazed and lose their will to fight.
687,malamar,Overturning Pokémon,dark,psychic,blue,generation-vi,"It wields the most compelling hypnotic powers of any Pokémon, and it forces others to do whatever it wants."
688,binacle,Two-Handed Pokémon,rock,water,brown,generation-vi,"Two Binacle live together on one rock. When they fight, one of them will move to a different rock."
689,barbaracle,Collective Pokémon,rock,water,brown,generation-vi,"When they evolve, two Binacle multiply into seven. They fight with the power of seven Binacle."
690,skrelp,Mock Kelp Pokémon,poison,water,brown,generation-vi,"Camouflaged as rotten kelp, they spray liquid poison on prey that approaches unawares and then finish it off."
691,dragalge,Mock Kelp Pokémon,poison,dragon,brown,generation-vi,"Their poison is strong enough to eat through the hull of a tanker, and they spit it indiscriminately at anything that enters their territory."
692,clauncher,Water Gun Pokémon,water,,blue,generation-vi,They knock down flying prey by firing compressed water from their massive claws like shooting a pistol.
693,clawitzer,Howitzer Pokémon,water,,blue,generation-vi,Their enormous claws launch cannonballs of water powerful enough to pierce tanker hulls.
694,helioptile,Generator Pokémon,electric,normal,yellow,generation-vi,"They make their home in deserts. They can generate their energy from basking in the sun, so eating food is not a requirement."
695,heliolisk,Generator Pokémon,electric,normal,yellow,generation-vi,They flare their frills and generate energy. A single Heliolisk can generate sufficient electricity to power a skyscraper.
696,tyrunt,Royal Heir Pokémon,rock,dragon,brown,generation-vi,"This Pokémon was restored from a fossil. If something happens that it doesn’t like, it throws a tantrum and runs wild."
697,tyrantrum,Despot Pokémon,rock,dragon,red,generation-vi,"Thanks to its gargantuan jaws, which could shred thick metal plates as if they were paper, it was invincible in the ancient world it once inhabited."
698,amaura,Tundra Pokémon,rock,ice,blue,generation-vi,This ancient Pokémon was restored from part of its body that had been frozen in ice for over 100 million years.
699,aurorus,Tundra Pokémon,rock,ice,blue,generation-vi,"The diamond-shaped crystals on its body expel air as cold as -240 degrees Fahrenheit, surrounding its enemies and encasing them in ice."
700,sylveon,Intertwining Pokémon,fairy,,pink,generation-vi,It sends a soothing aura from its ribbonlike feelers to calm fights.
701,hawlucha,Wrestling Pokémon,fighting,flying,green,generation-vi,"Although its body is small, its proficient fighting skills enable it to keep up with big bruisers like Machamp and Hariyama."
702,dedenne,Antenna Pokémon,electric,fairy,yellow,generation-vi,"Its whiskers serve as antennas. By sending and receiving electrical waves, it can communicate with others over vast distances."
703,carbink,Jewel Pokémon,rock,fairy,gray,generation-vi,"Born from the temperatures and pressures deep underground, it fires beams from the stone in its head."
704,goomy,Soft Tissue Pokémon,dragon,,purple,generation-vi,"The weakest Dragon-type Pokémon, it lives in damp, shady places, so its body doesn’t dry out."
705,sliggoo,Soft Tissue Pokémon,dragon,,purple,generation-vi,"It drives away opponents by excreting a sticky liquid that can dissolve anything. Its eyes devolved, so it can’t see anything."
706,goodra,Dragon Pokémon,dragon,,purple,generation-vi,"This very friendly Dragon-type Pokémon will hug its beloved Trainer, leaving that Trainer covered in sticky slime."
707,klefki,Key Ring Pokémon,steel,fairy,gray,generation-vi,These key collectors threaten any attackers by fiercely jingling their keys at them.
708,phantump,Stump Pokémon,ghost,grass,brown,generation-vi,These Pokémon are created when spirits possess rotten tree stumps. They prefer to live in abandoned forests.
709,trevenant,Elder Tree Pokémon,ghost,grass,brown,generation-vi,"It can control trees at will. It will trap people who harm the forest, so they can never leave."
710,pumpkaboo,Pumpkin Pokémon,,,brown,generation-vi,"The pumpkin body is inhabited by a spirit trapped in this world. As the sun sets, it becomes restless and active."
711,gourgeist,Pumpkin Pokémon,,,brown,generation-vi,"Singing in eerie voices, they wander town streets on the night of the new moon. Anyone who hears their song is cursed."
712,bergmite,Ice Chunk Pokémon,ice,,blue,generation-vi,It blocks opponents’ attacks with the ice that shields its body. It uses cold air to repair any cracks with new ice.
713,avalugg,Iceberg Pokémon,ice,,blue,generation-vi,Its ice-covered body is as hard as steel. Its cumbersome frame crushes anything that stands in its way.
714,noibat,Sound Wave Pokémon,flying,dragon,purple,generation-vi,"They live in pitch-black caves. Their enormous ears can emit ultrasonic waves of 200,000 hertz."
715,noivern,Sound Wave Pokémon,flying,dragon,purple,generation-vi,They fly around on moonless nights and attack careless prey. Nothing can beat them in a battle in the dark.
716,xerneas,Life Pokémon,fairy,,blue,generation-vi,Legends say it can share eternal life. It slept for a thousand years in the form of a tree before its revival.
717,yveltal,Destruction Pokémon,dark,flying,red,generation-vi,"When this legendary Pokémon’s wings and tail feathers spread wide and glow red, it absorbs the life force of living creatures."
718,zygarde,Order Pokémon,,,green,generation-vi,"When the Kalos region’s ecosystem falls into disarray, it appears and reveals its secret power."
719,diancie,Jewel Pokémon,rock,fairy,pink,generation-vi,"A sudden transformation of Carbink, its pink, glimmering body is said to be the loveliest sight in the whole world."
720,hoopa,Mischief Pokémon,psychic,ghost,purple,generation-vi,"This troublemaker sends anything and everything to faraway places using its loop, which can warp space."
721,volcanion,Steam Pokémon,fire,water,brown,generation-vi,It lets out billows of steam and disappears into the dense fog. It’s said to live in mountains where humans do not tread.
